faceImages,faceImages_q,originalFaceTrials.thisRepN,originalFaceTrials.thisTrialN,originalFaceTrials.thisN,originalFaceTrials.thisIndex,faceQuestions.thisRepN,faceQuestions.thisTrialN,faceQuestions.thisN,faceQuestions.thisIndex,ques_instr.started,mouse_4.started,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.time,mouse_4.clicked_name,slider_rad_therapy.started,text_rad_therapy.started,slider_surgery.started,text_surgery.started,image.started,mouse_6.started,slider_rad_therapy.response,slider_rad_therapy.rt,slider_surgery.response,slider_surgery.rt,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.time,mouse_6.clicked_name,instrBlock.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,face_image_q.started,slider_trustworthy.started,text_trustworthy.started,slider_aggressive.started,text_aggressive.started,Confirm.started,mouse_7.started,slider_trustworthy.response,slider_trustworthy.rt,slider_aggressive.response,slider_aggressive.rt,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.time,mouse_7.clicked_name,ITI,text_2.started,text_2.stopped,Name,Gender,Age,Ethnicity,date,expName,psychopyVersion,frameRate,
images\NASALTIP_CFD_WF_002_004_N.png,,0,48,48,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_006_M_F_N_A.png,,0,49,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_AF_237_223_N.png,,0,50,50,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_BM_234_172_N.png,,0,51,51,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_WF_250_167_N.png,,0,52,52,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_LF_224_176_N.png,,0,53,53,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_LM_201_057_N.png,,0,54,54,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_BM_213_134_N.png,,0,55,55,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_WF_200_099_N.png,,0,56,56,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_LM_203_026_N.png,,0,57,57,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_CFD_LF_224_176_N.png,,0,58,58,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_BF_224_002_N.png,,0,59,59,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_AF_245_143_N.png,,0,60,60,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_CFD_AF_245_143_N.png,,0,61,61,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_CFD_AF_231_357_N.png,,0,62,62,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_CFD_LM_203_026_N.png,,0,63,63,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_136_M_M_N_A.png,,0,64,64,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_CFD_WM_212_097_N.png,,0,65,65,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LCHEEK_CFD_BF_214_308_N.png,,0,66,66,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_136_M_M_N_A.png,,0,67,67,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_AM_233_236_N.png,,0,68,68,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\RCHEEK_CFD_BM_234_172_N.png,,0,69,69,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_AF_237_223_N.png,,0,70,70,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\NASALTIP_006_M_F_N_A.png,,0,71,71,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\FOREHEAD_087_M_M_N_A.png,,0,72,72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
images\LIP_CFD_BF_214_308_N.png,,0,73,73,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-04-07_22h55.02.884,FaceAttractiveness,2022.2.5,144.57531723281798,
